Tracking_Number,Date_of_Delivery,Status,Delivery_Address,Order_Number
da742f00-9d8d-47c4-b74a-9b2c82a4c5fb,2024-05-30,cancelled,"None, Rebecca Falls, Josephmouth, Ecuador, 75537",78721
546518d6-be98-426f-b5d3-44a364f3ed90,2024-01-14,pending,"None, Romero Land, Melissachester, Panama, 71630",74288
0fb36738-9a61-4169-b054-7859ba103e1f,2024-08-13,cancelled,"None, John Divide, Websterview, American Samoa, 55118",65868
5848c9ce-5b3c-4e07-b606-4f137b66a661,2024-08-10,cancelled,"None, Herman Drives, North Mary, Italy, 91466",86309
349c4856-1b01-42a3-866a-21153aea625f,2024-02-11,pending,"None, John Union, East Jonathanport, Martinique, 61286",89684
9986c4e4-922f-4a6b-bab1-e0da88b1d476,2024-04-21,cancelled,"1724, Cobb Village, Austinborough, Equatorial Guinea, 61391",45162
047d2324-0cf8-48d8-b3c4-030ac3b1cbb9,2023-12-10,cancelled,"974, Arnold Path, Ashleyburgh, Japan, 29681",69975
243977eb-dfa7-4972-8947-2726f2e59f14,2024-11-23,cancelled,"06030, Rodriguez Landing, Port Oscar, Northern Mariana Islands, 12820",28983
d1f38600-c0da-4f6c-a496-164dc09f0805,2024-03-12,postponed,"23532, Gonzalez Landing, West Kristen, Cocos (Keeling) Islands, 60812",50165
ac3ff794-fa3d-45f5-aa9a-7568911c6d9e,2024-07-20,pending,"379, Gina Streets, South Seantown, Zimbabwe, 79409",98012
dbccd992-baf3-4f17-8586-7bb3d20113f9,2024-09-25,postponed,"29096, Ashley Fork, South David, Malta, 88703",89617
3584977c-f5fa-45dd-aa64-85a3b2d067cf,2024-01-20,delivered,"36891, Craig Glen, Lake Jonbury, Guadeloupe, 11064",76083
cbf0fc22-ae6b-4189-8e0f-7ae59abdf7a3,2024-05-15,postponed,"None, Rivera Station, Ramirezburgh, French Southern Territories, 88316",89673
677cbc23-3247-4aee-b63e-2244b797dd96,2024-02-19,cancelled,"None, Jones Glens, Rodgersside, Morocco, 73357",61731
92d838f4-97a9-4883-be34-215150e2c3c9,2024-01-26,cancelled,"76292, William Views, Nicoleland, Mexico, 06039",50273
21048afd-5b4a-4494-b67a-539d0e8a73ca,2024-11-11,cancelled,"None, Jill Divide, South Angelabury, Moldova, 01607",74185
9b52a808-d954-4126-b014-a3c12f2e3ae2,2024-04-26,pending,"028, Lamb Springs, Valdezmouth, Gambia, 36966",11480
85ad12db-8542-4b6c-9c6e-e34b8bb611a3,2024-05-16,cancelled,"2121, Martin Fork, Lisaville, Australia, 79471",94323
8d36682d-89ee-4df4-be79-6ed067af607f,2024-07-27,delivered,"None, Robert Wall, Wagnerbury, Dominican Republic, 07874",31373
b098e016-a85f-4fc0-9b6a-c2eaf781a7d7,2024-08-14,cancelled,"24940, Lisa Shores, Smithborough, Madagascar, 44118",65435
1f7fa3e2-30b4-4de2-8c4e-785253e540cf,2023-12-21,postponed,"28979, Brown Corner, Boltonfurt, Sao Tome and Principe, 35364",54450
370a2894-c0d2-4482-98db-ff91d78c1b13,2024-04-09,delivered,"None, Jennifer Rapids, East Mark, Madagascar, 25469",86245
07f509f7-0c49-4937-9197-9d40425c8238,2024-08-27,postponed,"329, Kristin Center, Hardington, Panama, 08033",52819
cb078532-3711-4b1e-af8e-5ed8002d22ab,2024-02-22,cancelled,"None, White Passage, Port Christinaburgh, Isle of Man, 59913",33138
